IdVoie,TypeVoie,Voie
432,RUE,DE LALANDE
433,CRS,DE LA LIBERATION
434,IMP,POITEVINE
435,RUE,DU TONDU
436,RES,SAINT HILAIRE
437,,RESIDENCE VOLUTIS
438,RUE,LAZARE CARNOT
439,RTE,DE MONTPELLIER
440,AV,DES ELYSEES
441,RUE,DE LA PLAINE
442,RUE,ROGER METTE
443,RUE,D ALEMBERT
444,RUE,DES COTES BRUNES
445,RUE,VICTOR HUGO
446,RUE,DU PORT DURAND
447,RUE,DU STADE
448,RUE,JULES MANSART
449,PAS,DE LA LIBERATION
450,RUE,PASTEUR
451,AV,DU BOIS D AMOUR
452,AV,DES MONTOIRES
453,RUE,DES MACONS - CHERBOURG
454,RUE,DE LA SOURCE
455,RUE,DU MEZAT BRAS
456,RUE,JOSEPH MARIETTE
457,,LA FALAISE
458,RUE,DU FBG D ARRAS
459,RUE,HENRI KOLB
461,RUE,HENRI DURRE
463,RUE,DE GRAMONT
464,PL,DU CHATEAU
465,RUE,GEORGES DECROZE
466,RUE,ST MAURICE
467,RUE,DE CAMBRAI
468,RUE,CASTETNAU
470,AV,LAHONTINE
474,CHE,DE L AIGAS
475,RES,ROCHE CHATEAU
476,PL,EDMOND DESAILLOUD
477,RUE,DE MONTBRET
478,PROM,FRONT DE MER
479,RUE,DES GOBELINS
480,QUAI,FRANKLIN ROOSEVELT
481,AV,DU MARECHAL FOCH
482,CRS,DU DANUBE
483,RUE,JACQUES TATI
485,RES,DU VAL DE SEINE
486,RUE,DE LA VERTE SALLE
488,RUE,DE LA SANGLE
489,RUE,LACHAUX
490,RUE,DES DOUVES
491,AV,ANDRE LECLERC
492,PL,DE L HOTEL DE VILLE
493,RUE,DES FONTS BENITS
494,RUE,A BOREL
495,AV,AURELIENNE
496,MTE,DE LA CALADE
497,ALL,DE LA PINEDE
498,RES,DU PIN ROLLAND
499,,L OLIVINE
500,COR,DE SOLVIOU
501,RUE,AUGUSTIN DAUMAS
503,CHEM,DE CANTO MAI
505,AV,1ERE DIVISION BROSSET
506,AV,VINCENT AURIOL
507,AV,DU GEN BOUVET
508,AV,DE LATTRE DE TASSIGNY
509,RUE,DES DAPHNES
510,RTE,DE GIENS
511,RUE,AMPERE
512,RUE,CONTRESCARPE
513,RUE,DES SOUPIRS
514,AV,BIOCHAUD
515,RUE,DE LA TRANCHEE
516,RUE,LORMONT
518,RUE,DES CHARTONS
519,RUE,EDMOND BONTE
520,RUE,DE LA PECHERIE
521,RUE,JEAN-JACQUES ROUSSEAU
522,RUE,DU VIEUX LOGIS
523,BD,DE VANDEUL
524,CHE,DESSOUS VIGNES NOUZET
525,RUE,DE LA GAUDREE
526,AV,CARNOT
528,RUE,AUGUSTE BLANCHE
530,BD,DU GENERAL LECLERC
532,RUE,MARIUS AUFAN
533,RUE,DE L EGLISE
534,VLA,JEAN JAURES
535,RUE,TRAVERSIERE
536,RUE,D'AGUESSEAU
537,RUE,ERNEST LAVAL
538,AV,DE VERDUN
539,ALL,DES CITEAUX
541,RUE,DU MOULIN DE PIERRE
542,RUE,HENRI MARTIN
543,PL,MAURICE NILES
544,BD,DE LA LIBERTE
545,ALL,DANTON
546,RUE,DES POSTES
547,AV,DE LA DIVISION LECLERC
549,RUE,CHAUDRON
550,RUE,DU LANDY
551,RUE,RAFFIN
552,AV,ANATOLE FRANCE
553,RUE,GUERIN
