IdMutation,DateMutation,ValeurFonciere,TypeMutation,IdLogement
286,2020-01-03,66370.0,Vente,281
287,2020-06-12,168000.0,Vente,282
288,2020-01-13,566950.0,Vente,283
289,2020-01-10,70590.0,Vente,284
290,2020-01-20,254320.0,Vente,285
291,2020-01-17,320532.0,Vente,286
292,2020-02-17,2670000.0,Vente,287
293,2020-05-29,1220000.0,Vente,288
294,2020-03-05,2409950.0,Vente,289
295,2020-02-05,62500.0,Vente,290
296,2020-02-27,46500.0,Vente,291
297,2020-02-27,52000.0,Vente,292
298,2020-04-27,80000.0,Vente,293
299,2020-06-10,199000.0,Vente,294
300,2020-02-03,332500.0,Vente,295
301,2020-05-12,439785.0,Vente,295
302,2020-05-05,162000.0,Vente,296
303,2020-02-07,428000.0,Vente,297
304,2020-02-17,506000.0,Vente,298
305,2020-02-12,292000.0,Vente,299
306,2020-02-12,50000.0,Vente,300
307,2020-01-28,592487.0,Vente,301
308,2020-04-30,245000.0,Vente,302
309,2020-02-12,133000.0,Vente,303
310,2020-01-29,580450.0,Vente,304
311,2020-06-17,595600.0,Vente,304
312,2020-02-21,92000.0,Vente,305
313,2020-01-22,148800.0,Vente,306
314,2020-02-20,105500.0,Vente,307
315,2020-02-04,152900.0,Vente,308
316,2020-05-13,189000.0,Vente,309
317,2020-02-05,352300.0,Vente,310
318,2020-02-17,215000.0,Vente,311
319,2020-02-14,128460.0,Vente,312
320,2020-02-14,90500.0,Vente,313
321,2020-02-28,74000.0,Vente,314
322,2020-03-11,43000.0,Vente,315
323,2020-06-04,100000.0,Vente,316
324,2020-05-15,45000.0,Vente,317
325,2020-04-14,147000.0,Vente,318
326,2020-02-07,92000.0,Vente,319
327,2020-02-14,470315.0,Vente,320
328,2020-05-28,145000.0,Vente,321
329,2020-04-21,53000.0,Vente,322
330,2020-03-13,113000.0,Vente,323
331,2020-01-24,85000.0,Vente,324
332,2020-02-21,129000.0,Vente,325
333,2020-03-09,164000.0,Vente,326
334,2020-01-11,250000.0,Vente,327
335,2020-03-05,224000.0,Vente,328
336,2020-06-03,114350.0,Vente,329
337,2020-03-13,255000.0,Vente,330
338,2020-04-06,70000.0,Vente,331
339,2020-02-18,37800.0,Vente,332
340,2020-05-12,47300.0,Vente,333
341,2020-03-21,74000.0,Vente,334
342,2020-05-11,97500.0,Vente,335
343,2020-05-05,191150.0,Vente,336
344,2020-05-07,137500.0,Vente,337
345,2020-06-03,46500.0,Vente,338
346,2020-05-29,30500.0,Vente,339
347,2020-05-20,41000.0,Vente,340
348,2020-01-23,226000.0,Vente,341
349,2020-05-16,180650.0,Vente,342
350,2020-06-19,128250.0,Vente,343
351,2020-06-19,40000.0,Vente,344
352,2020-02-28,8000.0,Vente,345
353,2020-01-23,95000.0,Vente,346
354,2020-06-29,85500.0,Vente,347
355,2020-04-24,146000.0,Vente,348
356,2020-03-19,110000.0,Vente,349
357,2020-02-06,129050.0,Vente,350
358,2020-04-23,133500.0,Vente,351
359,2020-05-25,77000.0,Vente,352
360,2020-01-29,45284.0,Vente,353
361,2020-04-03,38000.0,Vente,354
362,2020-03-19,133568.0,Vente,355
363,2020-05-28,42000.0,Vente,356
364,2020-05-28,155000.0,Vente,357
365,2020-01-27,97000.0,Vente,358
366,2020-01-31,134000.0,Vente,359
367,2020-01-09,232300.0,Vente,360
368,2020-02-17,390700.0,Vente,361
369,2020-06-25,114000.0,Vente,362
370,2020-03-16,75000.0,Vente,363
371,2020-01-20,71300.0,Vente,364
372,2020-05-15,87000.0,Vente,364
373,2020-02-14,225000.0,Vente,365
374,2020-02-07,43000.0,Vente,366
375,2020-01-16,51000.0,Vente,367
376,2020-02-17,96000.0,Vente,368
377,2020-01-06,120300.0,Vente,369
378,2020-01-08,106500.0,Vente,370
379,2020-01-22,92000.0,Vente,371
380,2020-02-27,88000.0,Vente,372
381,2020-02-24,110000.0,Vente,373
382,2020-03-10,79000.0,Vente,374
383,2020-02-07,60600.0,Vente,375
384,2020-04-30,181480.0,Vente,376
385,2020-01-29,150000.0,Vente,377
386,2020-02-20,71500.0,Vente,378
387,2020-02-19,326400.0,Vente,379
388,2020-05-20,252600.0,Vente,380
389,2020-06-25,230800.0,Vente,381
390,2020-06-16,115000.0,Vente,382
391,2020-01-10,246150.0,Vente,383
392,2020-04-23,158000.0,Vente,384
393,2020-01-16,44000.0,Vente,385
394,2020-05-18,132400.0,Vente,386
395,2020-06-15,66000.0,Vente,387
396,2020-03-09,194000.0,Vente,388
397,2020-01-09,94000.0,Vente,389
398,2020-02-28,97000.0,Vente,390
399,2020-01-10,173100.0,Vente,391
400,2020-04-24,175000.0,Vente,392
401,2020-01-10,147000.0,Vente,393
402,2020-06-30,180000.0,Vente,394
403,2020-05-06,332500.0,Vente,395
404,2020-06-17,622500.0,Vente,396
405,2020-02-20,210000.0,Vente,397
406,2020-02-24,132000.0,Vente,398
407,2020-06-15,40000.0,Vente,399
408,2020-01-14,95000.0,Vente,400
409,2020-01-23,195000.0,Vente,401
410,2020-02-13,152000.0,Vente,402
411,2020-04-08,62000.0,Vente,403
412,2020-04-17,253500.0,Vente,404
413,2020-04-30,76700.0,Vente,405
414,2020-06-03,206000.0,Vente,406
415,2020-06-12,70000.0,Vente,407
416,2020-01-31,88000.0,Vente,408
417,2020-06-29,135000.0,Vente,409
418,2020-02-25,182000.0,Vente,410
419,2020-03-06,133500.0,Vente,411
420,2020-05-27,190500.0,Vente,412
421,2020-06-17,275000.0,Vente,413
422,2020-02-15,135000.0,Vente,414
423,2020-03-07,95000.0,Vente,415
424,2020-03-10,68500.0,Vente,416
425,2020-03-11,131000.0,Vente,417
426,2020-03-10,113000.0,Vente,418
427,2020-05-15,136000.0,Vente,419
428,2020-05-14,118350.0,Vente,420
429,2020-05-19,89000.0,Vente,421
430,2020-06-08,77000.0,Vente,422
431,2020-01-09,583500.0,Vente,423
432,2020-02-07,150000.0,Vente,424
433,2020-05-18,370500.0,Vente,425
434,2020-06-05,590000.0,Vente,426
435,2020-06-18,399700.0,Vente,427
436,2020-01-14,375000.0,Vente,428
437,2020-01-28,163000.0,Vente,429
438,2020-02-04,135000.0,Vente,430
439,2020-01-28,320000.0,Vente,431
440,2020-06-02,319900.0,Vente,432
441,2020-03-13,65000.0,Vente,433
442,2020-04-17,94000.0,Vente,433
443,2020-04-21,120125.0,Vente,433
444,2020-05-04,65087.0,Vente,433
445,2020-06-10,425000.0,Vente,434
446,2020-06-17,350000.0,Vente,435
447,2020-02-06,76000.0,Vente,436
448,2020-05-20,108000.0,Vente,437
449,2020-05-14,131000.0,Vente,438
450,2020-03-11,225000.0,Vente,439
451,2020-06-17,122000.0,Vente,440
452,2020-01-22,140200.0,Vente,441
453,2020-02-11,305500.0,Vente,442
454,2020-05-15,410000.0,Vente,443
455,2020-02-18,430000.0,Vente,444
456,2020-02-04,152470.0,Vente,445
457,2020-02-13,55000.0,Vente,446
458,2020-03-07,45000.0,Vente,447
459,2020-01-28,42000.0,Vente,448
460,2020-02-25,100000.0,Vente,449
461,2020-01-09,97500.0,Vente,450
462,2020-06-05,152000.0,Vente,451
463,2020-05-12,47000.0,Vente,452
464,2020-01-07,11000.0,Vente,453
465,2020-05-19,113000.0,Vente,454
466,2020-06-05,170000.0,Vente,455
467,2020-06-09,120000.0,Vente,456
468,2020-03-20,208000.0,Vente,457
469,2020-06-12,95000.0,Vente,458
470,2020-01-30,98170.0,Vente,459
471,2020-02-14,269200.0,Vente,460
472,2020-01-22,55000.0,Vente,461
473,2020-05-15,135000.0,Vente,462
474,2020-02-18,465660.47,Vente,463
475,2020-02-11,212862.0,Vente,464
476,2020-02-19,54000.0,Vente,465
477,2020-01-03,212550.0,Vente,466
478,2020-03-09,692000.0,Vente,467
479,2020-01-13,140650.0,Vente,468
480,2020-05-20,193700.0,Vente,469
481,2020-01-15,70000.0,Vente,470
482,2020-05-26,221000.0,Vente,471
483,2020-02-26,288400.0,Vente,472
484,2020-06-16,74000.0,Vente,473
485,2020-05-29,40000.0,Vente,474
486,2020-01-09,121850.0,Vente,475
487,2020-01-13,82000.0,Vente,476
488,2020-01-21,78850.0,Vente,477
489,2020-03-13,29000.0,Vente,478
490,2020-05-26,78100.0,Vente,479
491,2020-02-24,104500.0,Vente,480
492,2020-06-12,223000.0,Vente,481
493,2020-01-17,106000.0,Vente,482
494,2020-03-11,121500.0,Vente,483
495,2020-03-04,53800.0,Vente,484
496,2020-01-23,134400.0,Vente,485
497,2020-06-05,46000.0,Vente,485
498,2020-06-04,74000.0,Vente,486
499,2020-05-29,92000.0,Vente,487
500,2020-06-30,80000.0,Vente,488
501,2020-01-27,110000.0,Vente,489
502,2020-02-14,390000.0,Vente,490
503,2020-02-24,160000.0,Vente,491
504,2020-03-03,200000.0,Vente,492
505,2020-05-13,70000.0,Vente,493
506,2020-04-23,178900.0,Vente,494
507,2020-04-17,325000.0,Vente,495
508,2020-04-21,374690.0,Vente,496
509,2020-01-23,210000.0,Vente,497
510,2020-06-23,70000.0,Vente,498
511,2020-02-25,156580.0,Vente,499
