IdVoie,TypeVoie,Voie
489,AV,BORRIGLIONE
490,RUE,GUSTAVE DELOYE
491,RUE,BONAPARTE
492,BD,DU 8 MAI 1945
493,RUE,DELILLE
494,BD,DU ROSTIT
495,BD,FRANCOIS SUAREZ
496,AV,JEAN MEDECIN
497,RUE,DU SOLEIL
498,AV,D ANVERS
499,AV,STEPHEN LIEGEARD
500,AV,DESAMBROIS
501,CHE,DES CRETES
502,BD,DUBOUCHAGE
503,RUE,PENCHIENATTI
504,RUE,DES BOERS
505,AV,DE BRANCOLAR
506,AV,G CLEMENCEAU
507,RTE,DE TURIN
508,RUE,DES PONCHETTES
509,AV,GIACOBI
510,PL,GARIBALDI
511,AV,SAINT JEAN BAPTISTE
512,RUE,LAURENT GIAUME
513,RUE,L HOTEL POSTES
514,RUE,SORGENTINO
515,PL,PASTEUR
516,RUE,DE LA PREFECTURE
517,RUE,DU CONGRES
518,RUE,CLEMENT ROASSAL
519,RUE,DE LA POISSONNERIE
520,AV,MIRABEAU
521,RUE,EMMA ET PHILIPPE TIRANTY
522,CHE,DU FALICONET
523,RUE,RIBOTTI
524,RUE,DE RUSSIE
525,BD,ARMEE DES ALPES
526,RUE,DE ROQUEBILLIERE
527,AV,RENE BOYLESVE
528,AV,MARECHAL LYAUTEY
529,AV,URBAIN BOSIO
530,RUE,DE ORESTIS
531,RUE,AUGUSTE GAL PROLONGEE
532,BD,GORBELLA
533,RUE,MACCARANI
534,RUE,GUIGLIA
535,RUE,FONTAINE DE LA VILLE
536,RUE,DE BELGIQUE
537,RUE,BERLIOZ
538,RUE,GEORGES VILLE
539,RUE,VICTOR JUGE
540,AV,GRAVIER
541,PL,GUYNEMER
542,AV,CARAVADOSSI
543,RUE,RUSCA
544,PARC,LISERB
545,RUE,FODERE
546,ILOT,GUIGONIS ST FRANCOIS
547,RUE,DIDEROT
548,BD,RAIMBALDI
549,RUE,JULES GILLY
550,,IBAC SUPERIEUR
551,RUE,VILLENEUVE
552,RUE,BARRALIS
553,HLM,RUE CH BAUDELAIRE
554,AV,MARECHAL FOCH
555,RUE,GASTON ARNULF
556,RUE,FRANCOIS CARLO
557,RUE,DE FRANCE
558,AV,DURANTE
559,AV,CHATEAUBRIAND
560,RUE,ABBE SALVETTI
561,RUE,COLONNA D ISTRIA
562,AV,ANTONIA AUGUSTA
563,RUE,MARTIN SEYTOUR
564,AV,NOTRE DAME
565,QUAI,PAPACINO
566,RUE,PASTORELLI
567,AV,DE RIMIEZ
568,VOIE,ROMAINE
569,AV,CAGNOLI
570,IMP,LAURENTI
571,AV,SAINTE CLAIRE
572,PROM,DES ANGLAIS
573,RUE,CHABRIER
574,RUE,DES BARBETS
575,IMP,FERNAND LEGER
576,AV,GALLIN
577,BD,DE LA MADELEINE
578,AV,CYRNOS
579,AV,CORNICHE FLEURIE
580,RUE,CROS DE CAPEU
581,AV,GLORIA
582,AV,SAINTE MARGUERITE
583,AV,DES BAUMETTES
584,RUE,LOUIS BLERIOT
585,RUE,CHATEAUNEUF
586,RUE,CAFFARELLI
587,AV,SAINT AUGUSTIN
588,AV,DE LA LANTERNE
589,AV,DE PESSICART
590,AV,DE LA CALIFORNIE
591,VALL,BARLA
592,AV,MONT RABEAU
593,AV,DE FABRON
594,RUE,BOTTERO
595,BD,CARLONE
596,AV,FREMONT
597,BD,MANTEGA RIGHI
598,AV,SIMONE VEIL
599,AV,FLEURS
600,CHE,DES SABLIERES
601,RUE,JOSEPH FRICERO
602,BD,EDOUARD HERRIOT
603,AV,DE LA BORNALA
604,CHE,DE LA GINESTIERE
605,AV,GAY
606,RUE,DES POTIERS
607,RTE,DE BELLET
608,BD,FRANCOIS GROSSO
609,BD,DU TZAREWITCH
610,RUE,SAINT PHILIPPE
611,RTE,DE GRENOBLE
612,RUE,MARIE BASHKIRTSEFF
613,AV,CHATEAU DE LA TOUR
614,CHE,DE TERRON
615,BD,NAPOLEON III
616,RUE,DU ROCHER
617,AV,RAOUL DUFY
618,AV,LOUIS COCHOIS
619,RUE,GEORGES DOUBLET
620,AV,DU PETIT FABRON
621,COR,DES OLIVIERS
622,CHE,JEAN BAGNIS
623,AV,JOSEPH GIORDAN
624,RUE,HENRY DE CESSOLE
625,AV,ESTIENNE D ORVES
626,RTE,ST PIERRE FERIC
627,AV,ANTOINE MARTIN
628,BD,HENRI SAPPIA
629,AV,HENRI MATISSE
630,AV,DU RAY
631,ACH,ANC CHE DE LA LANTERNE
632,AV,RAYMOND FERAUD
633,AV,DE GAIRAUT
634,AV,SAINT JOSEPH
635,RTE,DE CANTA GALET
636,RUE,ALEXIS MOSSA
637,AV,VAL MARIE
638,AV,EDEN PARK
639,AV,ANGELIQUE BRAQUET
640,CHE,DU CAL DE SPAGNOL
641,RUE,AUGUSTE PEGURIER
642,BD,JEAN BEHRA
643,BD,DE MONTREAL
644,RUE,JEAN MERMOZ
645,CHE,DE LA MADONETTE DE TERRON
646,AV,LOUIS CAPPATTI
647,RUE,JEAN CANAVESE
648,COR,DE MAGNAN
649,BD,PARC IMPERIAL
650,PROM,DU SOLEIL
651,PTE,DE FRANCE
652,AV,DE LA PINEDE
653,IMP,BOTTA
654,BD,GUYNEMER
655,ALL,DES HESPERIDES
656,AV,LAURENTI
657,AV,DE SOSPEL
658,AV,CAMILLE BLANC
659,RUE,PARTOUNEAUX
660,PROM,VAL DU CAREI
661,RUE,DU PFR CALMETTE
662,RUE,PIETRA SCRITTA
663,RUE,DU MOULIN
664,BD,DE GARAVAN
665,AV,DE VERDUN
666,RUE,VAL DES CASTAGNINS
667,AV,FRANCOIS DE MONLEON
668,AV,DE FRANCE
669,PROM,DU VAL DE MENTON
670,ALL,ACACIAS TER CHAUDES
671,AV,BOYER
672,AV,WINSTON CHURCHILL
673,AV,DE LA PLAGE
674,RUE,ALBERTI BERNARDIN
675,RUE,LIEUTENANT JEAN REVELLI
676,IMP,MONTEE DES ALPES
677,RUE,ANDRE CARABALONA
678,RUE,JULES FERRY
679,CHE,DE USINE ELECTRIQUE
680,AV,PASTEUR
681,BRTL,DU CENTRE
682,RUE,ORCHIDEES PROLONGEE
683,RTE,DE SOSPEL
684,CHE,DU VALLONET
685,RUE,DE LA MARNE MAL JOFFRE
686,MTE,DU LUTETIA
687,RUE,SAINT PIERRE
688,AV,ARISTIDE BRIAND
689,BD,DE LA REPUBLIQUE
690,RUE,COTTA
691,,VAL DU CAREI
692,RUE,ARDOINO
693,RUE,MARTYRS RESISTANCE
694,RUE,GARIBALDI
695,IMP,DU RESERVOIR
696,AV,HECTOR BERLIOZ
697,RUE,DE LA CREMAILLERE
698,PROM,MAL LECLERC HAUTECLOQUE
699,PROM,ROBERT SCHUMAN
700,RUE,DU JONQUIER
701,AV,DES ORCHIDEES
702,CHE,DE SAINT ANTONIN
703,AV,EDOUARD VII
704,RUE,COLONEL HEBERT
705,AV,D ALSACE
706,AV,VIRGINIE HERIOT
707,RUE,PAUL MORILLOT
708,PROM,DU CAP
709,RUE,DU GUET
710,AV,DE VILLAINE
711,RUE,PDT DOUMERGUE
712,CHE,DES ORTAS
713,RUE,CARNOT
714,AV,PAUL DOUMER
715,AV,DES ACACIAS
716,RUE,GUYAU
717,RTE,DE LA TURBIE
718,RUE,MAX BAREL
719,CRS,DU CENTENAIRE
720,RTE,DE GORBIO
721,CHE,DU CASTELLARET
722,MTE,DES GERANIUMS
723,RUE,ANTOINE PEGLION
724,RUE,LONGUE
725,AV,DES ALLIES
726,AV,DU RAMINGAO
727,AV,AIMABLE GASTAUD
728,RUE,ISOLA
729,AV,RIVIERA
730,RUE,JULIETTE
731,RUE,DU VIEUX CHATEAU
732,RUE,SAINT MICHEL
733,PL,AUGUSTE COTTA
734,AV,CERNUSCHI
735,AV,PRINCE RAINIER III MONACO
736,RUE,VILLAREY
737,RUE,DES SOEURS MUNET
738,,PIENE HAUTE
739,RUE,MASSENA
740,TRA,DE BREA
741,PL,DU PETIT PORT
742,RUE,DE LA COTE
743,RTE,DE MENTON
744,RUE,PRATO
745,BD,DE LA TURBIE
746,AV,GENERAL DE GAULLE
747,RUE,JEANNE
748,RUE,DES LUCIOLES
749,AV,DE LA PAIX
750,RUE,LOREDAN LARCHEY
751,PL,GEORGES CLEMENCEAU
752,RUE,DU GRENADIER
753,IMP,DE PROVENCE
754,AV,MAL JUIN
755,AV,GENERAL LECLERC
756,IMP,DES CAPUCINS
757,RTE,DU   MOULINET
758,AV,MARTYRS DE LA RESISTANCE
759,RUE,HENRY GREVILLE
760,AV,DU REQUIER
761,RUE,LOUIS PERISSOL
762,RUE,GRIMALDI
763,MTE,DE LA CREMAILLERE
764,ALL,DU JARDIN
765,AV,VICTOR CAUVIN
766,,FRONT DE NEIGE
767,AV,DE   VALBERG
768,,LES GAILLES
769,BD,MARINONI
770,AV,MARQUET
771,AV,DU TROIS SEPTEMBRE
772,,ADRECH DE BARRIS
773,RUE,CLOSE
774,BD,LAZARE RAIBERTI
775,RUE,AMIRAL ALBINI
776,BD,RAOUL AUDIBERT
777,AV,DE LA PERGOLA
778,,LE COLLET
779,IMP,DU BAOUS
780,AV,DES MOULINS
781,RTE,DE CHATEAUNEUF
782,CHE,DU SERRIER N 13
783,BD,GEORGES POMPIDOU
784,,AURON
785,RTE,DE BERRE
786,RTE,RD 15 LA ROSEYRE
787,BD,DE LA CORNE D OR
788,,CHASTILLON
789,RUE,DE NICE
790,,VILLAGE
791,AV,FRANCOIS LEVAMIS
792,,LE HAMEAU
793,RTE,DE  LA  ROUILLE  BASSE
794,RUE,JACQUES DEMAS
795,PTTE,LA PLACETTE
796,AV,DE SAINT ESTEVE
797,RTE,DU   LAGAS
798,AV,SADI CARNOT
